(Filename, System, Human) = (n,k,l,observed_overlap, baseline, i-measure, normalized_i-measure))
(D30029.APW19981224.0814, C, F) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, C, H) = (164, 8, 9, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30029.APW19981224.0814, C, A) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, F, C) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, F, H) = (164, 8, 9, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30029.APW19981224.0814, F, A) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, H, C) = (164, 9, 8, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30029.APW19981224.0814, H, F) = (164, 9, 8, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30029.APW19981224.0814, H, A) = (164, 9, 8, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30029.APW19981224.0814, A, C) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, A, F) = (164, 8, 8, 5, 0.3902439024390244, 12.8125, 1.0)
(D30029.APW19981224.0814, A, H) = (164, 8, 9, 3, 0.43902439024390244, 6.833333333333333, 0.5333333333333333)
(D30001.APW19981027.0491, C, B) = (223, 8, 11, 0, 0.39461883408071746, 0.0, 0.0)
(D30001.APW19981027.0491, C, D) = (223, 8, 10, 3, 0.35874439461883406, 8.3625, 1.0)
(D30001.APW19981027.0491, C, A) = (223, 8, 9, 2, 0.32286995515695066, 6.194444444444445, 0.7407407407407407)
(D30001.APW19981027.0491, B, C) = (223, 11, 8, 0, 0.39461883408071746, 0.0, 0.0)
(D30001.APW19981027.0491, B, D) = (223, 11, 10, 1, 0.49327354260089684, 2.0272727272727273, 0.2424242424242424)
(D30001.APW19981027.0491, B, A) = (223, 11, 9, 3, 0.4439461883408072, 6.757575757575758, 0.8080808080808081)
(D30001.APW19981027.0491, D, C) = (223, 10, 8, 3, 0.35874439461883406, 8.3625, 1.0)
(D30001.APW19981027.0491, D, B) = (223, 10, 11, 1, 0.49327354260089684, 2.0272727272727273, 0.2424242424242424)
(D30001.APW19981027.0491, D, A) = (223, 10, 9, 3, 0.40358744394618834, 7.433333333333334, 0.8888888888888888)
(D30001.APW19981027.0491, A, C) = (223, 9, 8, 2, 0.32286995515695066, 6.194444444444445, 0.7407407407407407)
(D30001.APW19981027.0491, A, B) = (223, 9, 11, 3, 0.4439461883408072, 6.757575757575758, 0.8080808080808081)
(D30001.APW19981027.0491, A, D) = (223, 9, 10, 3, 0.40358744394618834, 7.433333333333334, 0.8888888888888888)
(D31022.APW19981030.0489, E, C) = (238, 9, 9, 2, 0.3403361344537815, 5.876543209876543, 0.44444444444444436)
(D31022.APW19981030.0489, E, G) = (238, 9, 9, 3, 0.3403361344537815, 8.814814814814815, 0.6666666666666666)
(D31022.APW19981030.0489, E, F) = (238, 9, 10, 4, 0.37815126050420167, 10.577777777777778, 0.7999999999999999)
(D31022.APW19981030.0489, C, E) = (238, 9, 9, 2, 0.3403361344537815, 5.876543209876543, 0.44444444444444436)
(D31022.APW19981030.0489, C, G) = (238, 9, 9, 1, 0.3403361344537815, 2.9382716049382713, 0.22222222222222218)
(D31022.APW19981030.0489, C, F) = (238, 9, 10, 5, 0.37815126050420167, 13.222222222222223, 1.0)
(D31022.APW19981030.0489, G, E) = (238, 9, 9, 3, 0.3403361344537815, 8.814814814814815, 0.6666666666666666)
(D31022.APW19981030.0489, G, C) = (238, 9, 9, 1, 0.3403361344537815, 2.9382716049382713, 0.22222222222222218)
(D31022.APW19981030.0489, G, F) = (238, 9, 10, 4, 0.37815126050420167, 10.577777777777778, 0.7999999999999999)
(D31022.APW19981030.0489, F, E) = (238, 10, 9, 4, 0.37815126050420167, 10.577777777777778, 0.7999999999999999)
(D31022.APW19981030.0489, F, C) = (238, 10, 9, 5, 0.37815126050420167, 13.222222222222223, 1.0)
(D31022.APW19981030.0489, F, G) = (238, 10, 9, 4, 0.37815126050420167, 10.577777777777778, 0.7999999999999999)
(D30051.APW19981130.0803, B, F) = (203, 9, 9, 2, 0.39901477832512317, 5.012345679012346, 0.5185185185185186)
(D30051.APW19981130.0803, B, D) = (203, 9, 7, 3, 0.3103448275862069, 9.666666666666666, 1.0)
(D30051.APW19981130.0803, B, H) = (203, 9, 10, 3, 0.4433497536945813, 6.766666666666667, 0.7000000000000001)
(D30051.APW19981130.0803, F, B) = (203, 9, 9, 2, 0.39901477832512317, 5.012345679012346, 0.5185185185185186)
(D30051.APW19981130.0803, F, D) = (203, 9, 7, 3, 0.3103448275862069, 9.666666666666666, 1.0)
(D30051.APW19981130.0803, F, H) = (203, 9, 10, 2, 0.4433497536945813, 4.511111111111111, 0.4666666666666667)
(D30051.APW19981130.0803, D, B) = (203, 7, 9, 3, 0.3103448275862069, 9.666666666666666, 1.0)
(D30051.APW19981130.0803, D, F) = (203, 7, 9, 3, 0.3103448275862069, 9.666666666666666, 1.0)
(D30051.APW19981130.0803, D, H) = (203, 7, 10, 3, 0.3448275862068966, 8.7, 0.9)
(D30051.APW19981130.0803, H, B) = (203, 10, 9, 3, 0.4433497536945813, 6.766666666666667, 0.7000000000000001)
(D30051.APW19981130.0803, H, F) = (203, 10, 9, 2, 0.4433497536945813, 4.511111111111111, 0.4666666666666667)
(D30051.APW19981130.0803, H, D) = (203, 10, 7, 3, 0.3448275862068966, 8.7, 0.9)
(D30024.NYT19981104.0597, C, G) = (564, 7, 10, 0, 0.12411347517730496, 0.0, 0.0)
(D30024.NYT19981104.0597, C, D) = (564, 7, 7, 1, 0.08687943262411348, 11.510204081632653, 0.2857142857142857)
(D30024.NYT19981104.0597, C, A) = (564, 7, 6, 0, 0.07446808510638298, 0.0, 0.0)
(D30024.NYT19981104.0597, G, C) = (564, 10, 7, 0, 0.12411347517730496, 0.0, 0.0)
(D30024.NYT19981104.0597, G, D) = (564, 10, 7, 1, 0.12411347517730496, 8.057142857142857, 0.2)
(D30024.NYT19981104.0597, G, A) = (564, 10, 6, 1, 0.10638297872340426, 9.4, 0.23333333333333334)
(D30024.NYT19981104.0597, D, C) = (564, 7, 7, 1, 0.08687943262411348, 11.510204081632653, 0.2857142857142857)
(D30024.NYT19981104.0597, D, G) = (564, 7, 10, 1, 0.12411347517730496, 8.057142857142857, 0.2)
(D30024.NYT19981104.0597, D, A) = (564, 7, 6, 3, 0.07446808510638298, 40.285714285714285, 1.0)
(D30024.NYT19981104.0597, A, C) = (564, 6, 7, 0, 0.07446808510638298, 0.0, 0.0)
(D30024.NYT19981104.0597, A, G) = (564, 6, 10, 1, 0.10638297872340426, 9.4, 0.23333333333333334)
(D30024.NYT19981104.0597, A, D) = (564, 6, 7, 3, 0.07446808510638298, 40.285714285714285, 1.0)
(D30015.NYT19981004.0102, E, B) = (440, 8, 9, 3, 0.16363636363636364, 18.333333333333332, 0.8749999999999999)
(D30015.NYT19981004.0102, E, H) = (440, 8, 8, 1, 0.14545454545454545, 6.875, 0.328125)
(D30015.NYT19981004.0102, E, A) = (440, 8, 7, 1, 0.12727272727272726, 7.857142857142858, 0.375)
(D30015.NYT19981004.0102, B, E) = (440, 9, 8, 3, 0.16363636363636364, 18.333333333333332, 0.8749999999999999)
(D30015.NYT19981004.0102, B, H) = (440, 9, 8, 1, 0.16363636363636364, 6.111111111111111, 0.29166666666666663)
(D30015.NYT19981004.0102, B, A) = (440, 9, 7, 3, 0.1431818181818182, 20.952380952380953, 1.0)
(D30015.NYT19981004.0102, H, E) = (440, 8, 8, 1, 0.14545454545454545, 6.875, 0.328125)
(D30015.NYT19981004.0102, H, B) = (440, 8, 9, 1, 0.16363636363636364, 6.111111111111111, 0.29166666666666663)
(D30015.NYT19981004.0102, H, A) = (440, 8, 7, 0, 0.12727272727272726, 0.0, 0.0)
(D30015.NYT19981004.0102, A, E) = (440, 7, 8, 1, 0.12727272727272726, 7.857142857142858, 0.375)
(D30015.NYT19981004.0102, A, B) = (440, 7, 9, 3, 0.1431818181818182, 20.952380952380953, 1.0)
(D30015.NYT19981004.0102, A, H) = (440, 7, 8, 0, 0.12727272727272726, 0.0, 0.0)
(D30040.APW19981124.0256, E, G) = (325, 9, 9, 4, 0.24923076923076923, 16.049382716049383, 0.6666666666666667)
(D30040.APW19981124.0256, E, H) = (325, 9, 9, 5, 0.24923076923076923, 20.061728395061728, 0.8333333333333334)
(D30040.APW19981124.0256, E, A) = (325, 9, 6, 4, 0.16615384615384615, 24.074074074074073, 1.0)
(D30040.APW19981124.0256, G, E) = (325, 9, 9, 4, 0.24923076923076923, 16.049382716049383, 0.6666666666666667)
(D30040.APW19981124.0256, G, H) = (325, 9, 9, 3, 0.24923076923076923, 12.037037037037036, 0.5)
(D30040.APW19981124.0256, G, A) = (325, 9, 6, 4, 0.16615384615384615, 24.074074074074073, 1.0)
(D30040.APW19981124.0256, H, E) = (325, 9, 9, 5, 0.24923076923076923, 20.061728395061728, 0.8333333333333334)
(D30040.APW19981124.0256, H, G) = (325, 9, 9, 3, 0.24923076923076923, 12.037037037037036, 0.5)
(D30040.APW19981124.0256, H, A) = (325, 9, 6, 3, 0.16615384615384615, 18.055555555555557, 0.7500000000000001)
(D30040.APW19981124.0256, A, E) = (325, 6, 9, 4, 0.16615384615384615, 24.074074074074073, 1.0)
(D30040.APW19981124.0256, A, G) = (325, 6, 9, 4, 0.16615384615384615, 24.074074074074073, 1.0)
(D30040.APW19981124.0256, A, H) = (325, 6, 9, 3, 0.16615384615384615, 18.055555555555557, 0.7500000000000001)
(D31050.NYT19981222.0021, E, G) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, E, F) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, E, H) = (268, 8, 11, 3, 0.3283582089552239, 9.136363636363637, 1.0)
(D31050.NYT19981222.0021, G, E) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, G, F) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, G, H) = (268, 8, 11, 1, 0.3283582089552239, 3.0454545454545454, 0.3333333333333333)
(D31050.NYT19981222.0021, F, E) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, F, G) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, F, H) = (268, 8, 11, 2, 0.3283582089552239, 6.090909090909091, 0.6666666666666666)
(D31050.NYT19981222.0021, H, E) = (268, 11, 8, 3, 0.3283582089552239, 9.136363636363637, 1.0)
(D31050.NYT19981222.0021, H, G) = (268, 11, 8, 1, 0.3283582089552239, 3.0454545454545454, 0.3333333333333333)
(D31050.NYT19981222.0021, H, F) = (268, 11, 8, 2, 0.3283582089552239, 6.090909090909091, 0.6666666666666666)
(D30027.APW19981002.0809, E, C) = (107, 9, 7, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
(D30027.APW19981002.0809, E, G) = (107, 9, 9, 2, 0.7570093457943925, 2.6419753086419755, 0.5185185185185185)
(D30027.APW19981002.0809, E, A) = (107, 9, 7, 3, 0.5887850467289719, 5.095238095238096, 1.0)
(D30027.APW19981002.0809, C, E) = (107, 7, 9, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
