Human_Pair, PairedPerformance
('C', 'A'), 0.6804232195824456
('A', 'C'), 0.6804232195824456
('E', 'C'), 0.6773557146483733
('C', 'E'), 0.6773557146483733
('A', 'E'), 0.6747603406514119
('E', 'A'), 0.6747603406514119
('D', 'A'), 0.6615397084727441
('A', 'D'), 0.6615397084727441
('A', 'B'), 0.6491490190505341
('B', 'A'), 0.6491490190505341
('E', 'B'), 0.6413782403763463
('B', 'E'), 0.6413782403763463
('C', 'D'), 0.6336922503092146
('D', 'C'), 0.6336922503092146
('B', 'C'), 0.6295717066498313
('C', 'B'), 0.6295717066498313
('F', 'E'), 0.6121743421771828
('E', 'F'), 0.6121743421771828
('D', 'B'), 0.6081974930076781
('B', 'D'), 0.6081974930076781
('F', 'D'), 0.6069464797890721
('D', 'F'), 0.6069464797890721
('A', 'H'), 0.5969244918318991
('H', 'A'), 0.5969244918318991
('E', 'H'), 0.5807797254002609
('H', 'E'), 0.5807797254002609
('D', 'E'), 0.5755402369395876
('E', 'D'), 0.5755402369395876
('F', 'B'), 0.5610591011121312
('B', 'F'), 0.5610591011121312
('D', 'H'), 0.5567895909205433
('H', 'D'), 0.5567895909205433
('C', 'F'), 0.5532165547520661
('F', 'C'), 0.5532165547520661
('F', 'H'), 0.5529814149939809
('H', 'F'), 0.5529814149939809
('D', 'G'), 0.5490584137579425
('G', 'D'), 0.5490584137579425
('G', 'E'), 0.5370166629106022
('E', 'G'), 0.5370166629106022
('A', 'G'), 0.5323580687830688
('G', 'A'), 0.5323580687830688
('F', 'G'), 0.5320304809738522
('G', 'F'), 0.5320304809738522
('B', 'G'), 0.5268738896905562
('G', 'B'), 0.5268738896905562
('B', 'H'), 0.5258275079047536
('H', 'B'), 0.5258275079047536
('F', 'A'), 0.5066272504308961
('A', 'F'), 0.5066272504308961
('G', 'H'), 0.5025065720030998
('H', 'G'), 0.5025065720030998
('C', 'H'), 0.49974004720294396
('H', 'C'), 0.49974004720294396
('G', 'C'), 0.4981146642358762
('C', 'G'), 0.4981146642358762
