(Filename, Human, Credibility_Score)
D30029.APW19981224.0814, C, 0.8444444444444444
D30029.APW19981224.0814, F, 0.8444444444444444
D30029.APW19981224.0814, H, 0.5333333333333333
D30029.APW19981224.0814, A, 0.8444444444444444
D30001.APW19981027.0491, C, 0.5802469135802469
D30001.APW19981027.0491, B, 0.35016835016835013
D30001.APW19981027.0491, D, 0.7104377104377103
D30001.APW19981027.0491, A, 0.8125701459034792
D31022.APW19981030.0489, E, 0.637037037037037
D31022.APW19981030.0489, C, 0.5555555555555555
D31022.APW19981030.0489, G, 0.5629629629629629
D31022.APW19981030.0489, F, 0.8666666666666666
D30051.APW19981130.0803, B, 0.7395061728395063
D30051.APW19981130.0803, F, 0.6617283950617284
D30051.APW19981130.0803, D, 0.9666666666666667
D30051.APW19981130.0803, H, 0.688888888888889
D30024.NYT19981104.0597, C, 0.09523809523809523
D30024.NYT19981104.0597, G, 0.14444444444444446
D30024.NYT19981104.0597, D, 0.49523809523809526
D30024.NYT19981104.0597, A, 0.41111111111111115
D30015.NYT19981004.0102, E, 0.5260416666666666
D30015.NYT19981004.0102, B, 0.7222222222222222
D30015.NYT19981004.0102, H, 0.2065972222222222
D30015.NYT19981004.0102, A, 0.4583333333333333
D30040.APW19981124.0256, E, 0.8333333333333334
D30040.APW19981124.0256, G, 0.7222222222222223
D30040.APW19981124.0256, H, 0.6944444444444445
D30040.APW19981124.0256, A, 0.9166666666666666
D31050.NYT19981222.0021, E, 0.9444444444444443
D31050.NYT19981222.0021, G, 0.7222222222222222
D31050.NYT19981222.0021, F, 0.8333333333333334
D31050.NYT19981222.0021, H, 0.6666666666666666
D30027.APW19981002.0809, E, 0.6172839506172839
D30027.APW19981002.0809, C, 0.1111111111111111
D30027.APW19981002.0809, G, 0.2839506172839506
D30027.APW19981002.0809, A, 0.4444444444444444
D31043.APW19981130.1079, G, 0.38518518518518513
D31043.APW19981130.1079, F, 0.5601851851851851
D31043.APW19981130.1079, D, 0.46388888888888885
D31043.APW19981130.1079, H, 0.6444444444444444
D30026.NYT19981101.0082, C, 0.5238095238095237
D30026.NYT19981101.0082, D, 0.6458333333333334
D30026.NYT19981101.0082, H, 0.7738095238095237
D30026.NYT19981101.0082, A, 0.5625
D31043.APW19981128.0178, G, 0.40625
D31043.APW19981128.0178, F, 0.7083333333333334
D31043.APW19981128.0178, D, 0.4583333333333333
D31043.APW19981128.0178, H, 0.65625
D30034.APW19981221.0448, G, 0.7250000000000001
D30034.APW19981221.0448, F, 0.8833333333333333
D30034.APW19981221.0448, D, 0.7250000000000001
D30034.APW19981221.0448, A, 0.7833333333333333
D31013.NYT19981110.0442, C, 0.757201646090535
D31013.NYT19981110.0442, G, 0.9259259259259259
D31013.NYT19981110.0442, D, 0.6584362139917695
D31013.NYT19981110.0442, H, 0.6296296296296297
D30044.APW19981115.0371, C, 0.38666666666666666
D30044.APW19981115.0371, G, 0.2866666666666667
D30044.APW19981115.0371, B, 0.59
D30044.APW19981115.0371, D, 0.21000000000000005
D30042.APW19981206.0364, C, 0.625
D30042.APW19981206.0364, B, 0.7916666666666666
D30042.APW19981206.0364, F, 0.6166666666666667
