(Filename, Human, Credibility_Score)
D30029.APW19981224.0814, C, 10.819444444444443
D30029.APW19981224.0814, F, 10.819444444444443
D30029.APW19981224.0814, H, 6.833333333333333
D30029.APW19981224.0814, A, 10.819444444444443
D30001.APW19981027.0491, C, 4.852314814814815
D30001.APW19981027.0491, B, 2.9282828282828284
D30001.APW19981027.0491, D, 5.941035353535354
D30001.APW19981027.0491, A, 6.795117845117846
D31022.APW19981030.0489, E, 8.423045267489712
D31022.APW19981030.0489, C, 7.34567901234568
D31022.APW19981030.0489, G, 7.443621399176955
D31022.APW19981030.0489, F, 11.45925925925926
D30051.APW19981130.0803, B, 7.148559670781893
D30051.APW19981130.0803, F, 6.396707818930042
D30051.APW19981130.0803, D, 9.344444444444443
D30051.APW19981130.0803, H, 6.659259259259259
D30024.NYT19981104.0597, C, 3.836734693877551
D30024.NYT19981104.0597, G, 5.819047619047619
D30024.NYT19981104.0597, D, 19.951020408163263
D30024.NYT19981104.0597, A, 16.56190476190476
D30015.NYT19981004.0102, E, 11.021825396825397
D30015.NYT19981004.0102, B, 15.132275132275131
D30015.NYT19981004.0102, H, 4.328703703703703
D30015.NYT19981004.0102, A, 9.603174603174603
D30040.APW19981124.0256, E, 20.061728395061724
D30040.APW19981124.0256, G, 17.386831275720166
D30040.APW19981124.0256, H, 16.718106995884774
D30040.APW19981124.0256, A, 22.067901234567902
D31050.NYT19981222.0021, E, 8.628787878787879
D31050.NYT19981222.0021, G, 6.598484848484849
D31050.NYT19981222.0021, F, 7.613636363636363
D31050.NYT19981222.0021, H, 6.090909090909091
D30027.APW19981002.0809, E, 3.145208700764256
D30027.APW19981002.0809, C, 0.5661375661375662
D30027.APW19981002.0809, G, 1.446796002351558
D30027.APW19981002.0809, A, 2.2645502645502646
D31043.APW19981130.1079, G, 7.222222222222221
D31043.APW19981130.1079, F, 10.503472222222223
D31043.APW19981130.1079, D, 8.697916666666666
D31043.APW19981130.1079, H, 12.083333333333334
D30026.NYT19981101.0082, C, 13.955782312925171
D30026.NYT19981101.0082, D, 17.20684523809524
D30026.NYT19981101.0082, H, 20.616496598639454
D30026.NYT19981101.0082, A, 14.986607142857144
D31043.APW19981128.0178, G, 2.603009259259259
D31043.APW19981128.0178, F, 4.53858024691358
D31043.APW19981128.0178, D, 2.9367283950617282
D31043.APW19981128.0178, H, 4.204861111111111
D30034.APW19981221.0448, G, 6.014814814814815
D30034.APW19981221.0448, F, 7.328395061728396
D30034.APW19981221.0448, D, 6.014814814814815
D30034.APW19981221.0448, A, 6.498765432098765
D31013.NYT19981110.0442, C, 4.472222222222222
D31013.NYT19981110.0442, G, 5.46875
D31013.NYT19981110.0442, D, 3.888888888888889
D31013.NYT19981110.0442, H, 3.71875
D30044.APW19981115.0371, C, 6.352380952380952
D30044.APW19981115.0371, G, 4.70952380952381
D30044.APW19981115.0371, B, 9.692857142857143
D30044.APW19981115.0371, D, 3.4500000000000006
D30042.APW19981206.0364, C, 8.15625
D30042.APW19981206.0364, B, 10.33125
D30042.APW19981206.0364, F, 8.0475
D30042.APW19981206.0364, D, 10.222500000000002
D30049.APW19981023.0254, E, 9.309833024118738
D30049.APW19981023.0254, G, 5.064935064935065
D30049.APW19981023.0254, B, 10.238404452690167
D30049.APW19981023.0254, D, 10.720779220779221
D30056.APW19981016.0448, E, 1.1433201058201057
D30056.APW19981016.0448, G, 1.2564814814814815
D30056.APW19981016.0448, B, 1.4008597883597884
D30056.APW19981016.0448, H, 2.0447089947089947
D30036.APW19981011.0541, F, 9.874074074074073
D30036.APW19981011.0541, D, 7.609053497942386
D30036.APW19981011.0541, H, 8.440740740740742
D30036.APW19981011.0541, A, 10.634979423868314
D31009.APW19981111.1240, C, 1.244047619047619
D31009.APW19981111.1240, G, 0.5757575757575758
D31009.APW19981111.1240, B, 2.2721861471861473
D31009.APW19981111.1240, F, 1.357142857142857
D31032.APW19981016.0209, E, 3.9879629629629627
D31032.APW19981016.0209, G, 3.852777777777778
D31032.APW19981016.0209, F, 4.836625514403292
D31032.APW19981016.0209, D, 6.5940329218107
D30024.NYT19981104.0600, C, 15.98639455782313
D30024.NYT19981104.0600, G, 5.819047619047619
D30024.NYT19981104.0600, D, 27.624489795918368
D30024.NYT19981104.0600, A, 21.038095238095238
D30015.APW19981005.1082, E, 1.8888888888888886
D30015.APW19981005.1082, B, 5.156666666666667
D30015.APW19981005.1082, H, 1.19
D30015.APW19981005.1082, A, 5.855555555555555
D31013.NYT19981114.0129, C, 27.236111111111114
D31013.NYT19981114.0129, G, 25.808641975308642
D31013.NYT19981114.0129, D, 21.583333333333332
D31013.NYT19981114.0129, H, 10.905864197530866
D31032.APW19981013.0282, E, 4.282407407407407
D31032.APW19981013.0282, G, 3.1175925925925925
D31032.APW19981013.0282, F, 1.9185185185185185
D31032.APW19981013.0282, D, 3.0833333333333335
D31032.APW19981012.0522, E, 2.075925925925926
D31032.APW19981012.0522, G, 2.634362139917695
D31032.APW19981012.0522, F, 2.4158436213991767
D31032.APW19981012.0522, D, 2.512962962962963
D30010.APW19981106.0273, B, 4.1925
D30010.APW19981106.0273, D, 3.6749999999999994
D30010.APW19981106.0273, H, 3.6300000000000003
D30010.APW19981106.0273, A, 2.7375000000000003
D30051.APW19981116.0525, B, 8.640625000000002
D30051.APW19981116.0525, F, 7.406250000000001
D30051.APW19981116.0525, D, 8.640625000000002
D30051.APW19981116.0525, H, 7.406250000000001
D31038.APW19981120.0887, E, 4.646043771043771
D31038.APW19981120.0887, G, 3.807659932659933
D31038.APW19981120.0887, D, 3.722268986157875
D31038.APW19981120.0887, H, 2.9537504676393564
D30048.NYT19981020.0380, C, 8.357142857142858
D30048.NYT19981020.0380, G, 2.9250000000000003
D30048.NYT19981020.0380, B, 6.267857142857143
D30048.NYT19981020.0380, H, 5.014285714285715
D30051.APW19981129.0969, B, 7.335390946502057
D30051.APW19981129.0969, F, 7.335390946502057
D30051.APW19981129.0969, D, 7.893518518518518
D30051.APW19981129.0969, H, 5.979938271604937
D30042.APW19981209.1444, C, 4.938822751322752
D30042.APW19981209.1444, B, 9.494047619047619
D30042.APW19981209.1444, F, 5.434303350970018
D30042.APW19981209.1444, D, 7.400242504409171
D31026.NYT19981017.0052, E, 8.322751322751323
D31026.NYT19981017.0052, C, 8.450793650793651
D31026.NYT19981017.0052, F, 9.462328042328041
D31026.NYT19981017.0052, H, 4.468677248677249
D30048.APW19981019.0550, C, 3.0370370370370368
D30048.APW19981019.0550, G, 2.961111111111111
D30048.APW19981019.0550, B, 0.8541666666666666
D30048.APW19981019.0550, H, 2.296759259259259
D30010.APW19981108.0188, B, 15.913938492063494
D30010.APW19981108.0188, D, 13.06671626984127
D30010.APW19981108.0188, H, 12.880291005291006
D30010.APW19981108.0188, A, 14.100529100529101
D31050.APW19981224.0149, E, 8.150029394473838
D31050.APW19981224.0149, G, 8.150029394473838
D31050.APW19981224.0149, F, 3.8052910052910054
D31050.APW19981224.0149, H, 6.692063492063492
D30026.NYT19981122.0163, C, 18.0
D30026.NYT19981122.0163, D, 12.651428571428573
D30026.NYT19981122.0163, H, 8.794285714285715
D30026.NYT19981122.0163, A, 13.114285714285714
D30031.NYT19981206.0178, E, 13.546296296296296
D30031.NYT19981206.0178, F, 11.212962962962962
D30031.NYT19981206.0178, D, 7.194444444444444
D30031.NYT19981206.0178, A, 15.101851851851853
D30047.NYT19981120.0427, C, 3.525297619047619
D30047.NYT19981120.0427, B, 2.299107142857143
D30047.NYT19981120.0427, F, 0.0
D30047.NYT19981120.0427, H, 3.678571428571429
D31013.NYT19981112.0195, C, 28.469387755102037
D31013.NYT19981112.0195, G, 12.857142857142856
D31013.NYT19981112.0195, D, 28.469387755102037
D31013.NYT19981112.0195, H, 0.0
D31032.APW19981001.0299, E, 1.3240740740740742
D31032.APW19981001.0299, G, 1.176954732510288
D31032.APW19981001.0299, F, 1.2109053497942386
D31032.APW19981001.0299, D, 1.5617283950617284
D30033.APW19981203.0649, E, 7.585390946502058
D30033.APW19981203.0649, G, 6.909465020576132
D30033.APW19981203.0649, D, 7.510288065843621
D30033.APW19981203.0649, A, 8.787037037037036
