(Filename, Human, Credibility_Score)
D200, E, 0.8338916972280042
D200, F, 0.9142035880662108
D200, D, 0.8982456140350878
D200, H, 0.7781676413255362
D171, C, 0.6688862386536805
D171, G, 0.6988670244484197
D171, B, 0.8182987698491574
D171, D, 0.6735627995317918
D144, E, 0.7650711551386576
D144, B, 0.8509540925162912
D144, F, 0.718878758656965
D144, A, 0.827145612343298
D175, C, 0.7343589743589743
D175, B, 0.8519714165615806
D175, F, 0.6443076923076924
D175, H, 0.7537150063051703
D135, C, 0.6424125514403292
D135, G, 0.7977752057613169
D135, B, 0.8576388888888888
D135, A, 0.7529706790123457
D132, C, 0.829076923076923
D132, B, 0.8573613053613053
D132, D, 0.8826946386946387
D132, A, 0.9013846153846155
D185, B, 0.9200460166810469
D185, F, 0.8150468889234643
D185, D, 0.7641409355153538
D185, H, 0.8743169398907104
D153, C, 0.8615819209039549
D153, G, 0.8503009490048373
D153, D, 0.9089952365126842
D153, A, 0.8975665595805177
D174, E, 0.810303893637227
D174, C, 0.5445997546691991
D174, B, 0.7376098053181387
D174, H, 0.7386732352010129
D159, E, 0.9616295442908346
D159, F, 0.8950252816180235
D159, D, 0.8879528289810548
D159, A, 0.950204813108039
D161, E, 0.5580445059379685
D161, G, 0.6635720050732158
D161, D, 0.7255113570852071
D161, A, 0.5948114839156001
D149, E, 0.6432748538011697
D149, C, 0.6144005847953217
D149, D, 0.6991115609536663
D149, A, 0.7740384615384616
D141, B, 0.9228070175438597
D141, D, 0.8792461924040872
D141, H, 0.8521399652978601
D141, A, 0.9072296124927703
D188, E, 0.628913902948805
D188, B, 0.8626375563445895
D188, F, 0.8354712799979853
D188, H, 0.8091460804311147
D166, G, 0.8028785679729076
D166, D, 0.6416061925495887
D166, H, 0.5325794226737622
D166, A, 0.5539872601193356
D164, G, 0.9208333333333333
D164, F, 0.81875
D164, D, 0.8312499999999999
D164, A, 0.8333333333333334
D154, C, 0.685288367546432
D154, D, 0.6655180840664712
D154, H, 0.7011730205278592
D154, A, 0.49723851417399806
D136, C, 0.5943599126861838
D136, B, 0.6674290575243965
D136, H, 0.8001867188837527
D136, A, 0.7640547423386406
D148, G, 0.8280652274083763
D148, B, 0.9222726302800894
D148, F, 0.8459090613895924
D148, A, 0.8201514715751127
D134, C, 0.7363108206245461
D134, B, 0.9072093483858189
D134, F, 0.8693404634581103
D134, A, 0.8479764969961048
D151, C, 0.8865874363327674
D151, F, 0.8549330315034899
D151, D, 0.9237879645349935
D151, A, 0.901867572156197
D190, G, 0.8344338190649664
D190, B, 0.8123102610807527
D190, F, 0.8308287795992713
D190, H, 0.9201958105646629
D137, E, 0.7778954802259886
D137, B, 0.8497430163214061
D137, D, 0.8248489485247958
D137, A, 0.903072033898305
D193, C, 0.4199969769260596
D193, G, 0.75403350354554
D193, B, 0.7155287422040838
D193, F, 0.6000341738793268
D165, F, 0.8457734945830184
D165, D, 0.8970458553791888
D165, H, 0.8906525573192239
D165, A, 0.8647644242882339
D191, E, 0.5962921626984127
D191, C, 0.36563740079365076
D191, G, 0.6836970899470899
D191, D, 0.6789021164021163
D199, E, 0.8292929292929293
D199, G, 0.893939393939394
D199, F, 0.8833894500561167
D199, D, 0.7500561167227834
D139, G, 0.8486419753086419
D139, B, 0.9596296296296295
D139, D, 0.9048456790123455
D139, A, 0.9069444444444444
D202, G, 0.8353959559072157
D202, F, 0.9570472132858012
D202, D, 0.8117554995217807
D202, H, 0.7591996831193423
D196, E, 0.9059343434343434
D196, C, 0.8188131313131314
D196, F, 0.8882782745487662
D196, H, 0.9312075674780592
D195, E, 0.5501302083333334
D195, C, 0.6898437500000001
D195, G, 0.6895833333333333
D195, F, 0.7873697916666668
D169, E, 0.8952629866167676
D169, G, 0.7991803278688524
D169, H, 0.7689629689894101
D169, A, 0.8495403327502746
D176, C, 0.6115965954949005
D176, G, 0.6239819502531367
D176, B, 0.7972631887886125
D176, H, 0.7783256291730868
D170, C, 0.7501428571428573
D170, B, 0.8484126984126985
D170, F, 0.8031481481481482
D170, D, 0.860962962962963
D156, C, 0.9061510628674808
D156, G, 0.7716934806487045
D156, F, 0.7818698714221103
D156, A, 0.767073722297603
D179, E, 0.8178396182025945
D179, B, 0.82314371788056
D179, D, 0.592604814020422
D179, H, 0.7198298777246146
D133, E, 0.7165334186120882
D133, C, 0.6054507337526206
D133, B, 0.8238993710691824
D133, A, 0.6507053263689017
D201, E, 0.7793122759856632
D201, G, 0.6348678315412187
D201, D, 0.6704861111111113
D201, H, 0.8100694444444446
D192, E, 0.8274498456790124
D192, C, 0.6810699588477366
D192, D, 0.8299575617283951
D192, H, 0.7690329218106995
D211, E, 0.8075188049357674
D211, G, 0.8031292258282624
D211, F, 0.7851139917173766
D211, H, 0.7146958460108181
D147, E, 0.5535984848484848
D147, B, 0.3603219696969697
D147, H, 0.5535984848484848
D147, A, 0.25918560606060603
D189, E, 0.7859498207885305
D189, G, 0.8493189964157706
D189, B, 0.931146953405018
D189, H, 0.8110394265232975
D173, E, 0.7045551670551671
D173, C, 0.5996260683760682
D173, B, 0.8527923465423465
