(Filename, Human, Credibility_Score)
D200, E, 8.13459199856721
D200, F, 8.918032422274475
D200, D, 8.762362797191948
D200, H, 7.591005270483997
D171, C, 8.050957999795209
D171, G, 8.411817639724617
D171, B, 9.849341557093494
D171, D, 8.107246787091748
D144, E, 8.462623797656171
D144, B, 9.412594247833262
D144, F, 7.951679330450511
D144, A, 9.149243303878928
D175, C, 9.182326488852935
D175, B, 10.652936750541878
D175, F, 8.056337290918174
D175, H, 9.424351725916024
D135, C, 4.4606226354042215
D135, G, 5.539390743229788
D135, B, 5.955057123655913
D135, A, 5.228288343787336
D132, C, 8.980980571894177
D132, B, 9.28737130683506
D132, D, 9.561794786918918
D132, A, 9.764254067680087
D185, B, 6.210310612597066
D185, F, 5.501566500233383
D185, D, 5.157951314728638
D185, H, 5.901639344262295
D153, C, 4.06001585885618
D153, G, 4.006856752678935
D153, D, 4.283440711005386
D153, A, 4.229585577251352
D174, E, 3.9327550756122185
D174, C, 2.6431780300827916
D174, B, 3.5799392406535264
D174, H, 3.5851005255767157
D159, E, 5.759992454101574
D159, F, 5.361044592438993
D159, D, 5.318681840521909
D159, A, 5.691560316389361
D161, E, 7.9643767481985845
D161, G, 9.470458703070003
D161, D, 10.35445331230575
D161, A, 8.489112788766521
D149, E, 4.042735042735043
D149, C, 3.861271367521367
D149, D, 4.393647271531886
D149, A, 4.864534023668639
D141, B, 13.117642923337486
D141, D, 12.498428571077406
D141, H, 12.113115280846083
D141, A, 12.896211103631293
D188, E, 5.097306053477756
D188, B, 6.991620979112734
D188, F, 6.771440085952757
D188, H, 6.558076065087499
D166, G, 5.876858923283449
D166, D, 4.69638775816246
D166, H, 3.898340617560317
D166, A, 4.05504032974452
D164, G, 9.406568287037038
D164, F, 8.363758680555556
D164, D, 8.491449652777778
D164, A, 8.512731481481481
D154, C, 7.430875982815631
D154, D, 7.216498311105416
D154, H, 7.60312009482013
D154, A, 5.391770687623908
D136, C, 8.277664019303723
D136, B, 9.295299661006084
D136, H, 11.144218629572984
D136, A, 10.641007770613664
D148, G, 7.990829444490832
D148, B, 8.899930882202863
D148, F, 8.163022442409568
D148, A, 7.914461700699836
D134, C, 7.67752966983844
D134, B, 9.459492504916652
D134, F, 9.064632780663826
D134, A, 8.841870216563033
D151, C, 7.98201488833747
D151, F, 7.697027846705265
D151, D, 8.316934105321202
D151, A, 8.11958312655087
D190, G, 4.886143295396963
D190, B, 4.756595724283386
D190, F, 4.8650334853527255
D190, H, 5.388334565923004
D137, E, 10.501913918506247
D137, B, 11.471885667296512
D137, D, 11.135805353517712
D137, A, 12.191849680698922
D193, C, 5.643900054037566
D193, G, 10.132667531452308
D193, B, 9.615242319951305
D193, F, 8.06323162411266
D165, F, 9.614785852463127
D165, D, 10.197652036332423
D165, H, 10.124972776304496
D165, A, 9.830675477078106
D191, E, 8.441495483682983
D191, C, 5.176198280885781
D191, G, 9.678855866355866
D191, D, 9.610975135975137
D199, E, 6.908656165744287
D199, G, 7.447211579395488
D199, F, 7.359322327862134
D199, D, 6.248551787206535
D139, G, 7.362215173841697
D139, B, 8.325065252585324
D139, D, 7.849798598033061
D139, A, 7.868005996629992
D202, G, 5.273872073724668
D202, F, 6.041858995956873
D202, D, 5.124629380053908
D202, H, 4.792843416192473
D196, E, 6.517708529614974
D196, C, 5.890918441052698
D196, F, 6.390682645665432
D196, H, 6.699535732783075
D195, E, 3.30078125
D195, C, 4.1390625000000005
D195, G, 4.1375
D195, F, 4.7242187499999995
D169, E, 6.417032033439177
D169, G, 5.728334401279267
D169, H, 5.511743563956608
D169, A, 6.089302931598475
D176, C, 4.327334402086561
D176, G, 4.414966629149553
D176, B, 5.6410131282213145
D176, H, 5.507020961130331
D170, C, 4.410779661016949
D170, B, 4.988598423186185
D170, F, 4.7224465085596945
D170, D, 5.062392969240427
D156, C, 5.488907720251004
D156, G, 4.674446101951433
D156, F, 4.736088439713174
D156, A, 4.646462437507214
D179, E, 6.093091391046136
D179, B, 6.132608141477093
D179, D, 4.415040810245838
D179, H, 5.362896506066728
D133, E, 7.683079118391883
D133, C, 6.491987350318019
D133, B, 8.834317966326113
D133, A, 6.97723284830883
D201, E, 3.9182330227532787
D201, G, 3.1919939917311546
D201, D, 3.3710758867877892
D201, H, 4.0728741811889755
D192, E, 10.340806582057983
D192, C, 8.511467794782465
D192, D, 10.372146012193605
D192, H, 9.61075857492431
D211, E, 4.840124592758266
D211, G, 4.813814233593585
D211, F, 4.705834113339505
D211, H, 4.283760228833671
D147, E, 11.651930014430015
D147, B, 7.5839195526695535
D147, H, 11.651930014430015
D147, A, 5.455239898989899
D189, E, 5.892145882204052
D189, G, 6.367214922688217
D189, B, 6.980666630507986
D189, H, 6.080238828097104
D173, E, 7.446355626910328
D173, C, 6.337373078898502
D173, B, 9.013055875813967
D173, F, 8.48558729406187
D155, E, 7.571851744746482
D155, C, 6.737432812801234
D155, G, 7.096675149411991
D155, A, 7.632728937728937
D194, C, 5.391643505418266
D194, G, 7.40884109916368
D194, D, 6.723702446079355
D194, H, 7.033482152214467
D197, C, 7.0582829903091335
D197, G, 9.301420954579996
D197, F, 7.866319430589584
D197, H, 7.565189494601259
D157, C, 8.148665935672513
D157, F, 8.207807541907561
D157, H, 6.777467961896929
D157, A, 7.234956472620946
D178, E, 10.411726402808448
D178, G, 8.911256201075577
D178, B, 9.867194898393587
D178, D, 10.548289073853878
D187, E, 7.4844872000427545
D187, G, 7.398200701904405
D187, B, 8.236985730319063
D187, F, 6.738738353553168
D168, E, 4.159812846203976
D168, F, 4.880671635711958
D168, H, 4.400123207885304
D168, A, 5.238679130009775
