(Doc, Assessor, Peer) >> (Responsiveness, i-measure-Guess, True/False)
D132, A, C>> (3, 3.5555555555555554, False)
D132, A, 24>> (1, 0.14814814814814814, False)
D132, A, 30>> (2, 1.6296296296296295, True)
D132, A, 71>> (1, 1.7777777777777777, False)
D132, A, 125>> (1, 2.2222222222222223, False)
D132, A, 62>> (1, 1.1851851851851851, True)
D132, A, 147>> (2, 2.5185185185185186, False)
D132, A, D>> (4, 3.4074074074074074, False)
D132, A, 43>> (0, 0.8888888888888888, False)
D132, A, 96>> (2, 2.074074074074074, True)
D132, A, 116>> (1, 2.814814814814815, False)
D132, A, 16>> (1, 0.4444444444444444, False)
D132, A, 86>> (2, 0.2962962962962963, False)
D132, A, A>> (4, 3.8518518518518516, True)
D132, A, 109>> (2, 2.962962962962963, False)
D132, A, 49>> (1, 1.037037037037037, True)
D132, A, B>> (3, 3.7037037037037037, False)
D132, A, 122>> (2, 2.3703703703703702, True)
D133, B, 147>> (0, 1.3333333333333333, False)
D133, B, 16>> (1, 0.4444444444444444, False)
D133, B, E>> (4, 3.7037037037037037, True)
D133, B, 43>> (1, 1.4814814814814814, True)
D133, B, 5>> (1, 1.7777777777777777, False)
D133, B, 116>> (0, 1.037037037037037, False)
D133, B, 24>> (1, 0.8888888888888888, True)
D133, B, 86>> (0, 0.14814814814814814, True)
D133, B, 109>> (2, 2.6666666666666665, False)
D133, B, 71>> (1, 1.9259259259259258, False)
D133, B, 62>> (3, 2.962962962962963, True)
D133, B, C>> (3, 3.4074074074074074, True)
D133, B, 122>> (1, 0.7407407407407407, True)
D133, B, B>> (4, 3.8518518518518516, True)
D133, B, 30>> (0, 0.5925925925925926, False)
D133, B, 49>> (2, 2.814814814814815, False)
D133, B, 125>> (1, 2.5185185185185186, False)
D133, B, 96>> (1, 0.2962962962962963, False)
D133, B, A>> (4, 3.5555555555555554, True)
D134, A, 30>> (2, 2.074074074074074, True)
D134, A, 71>> (1, 1.7777777777777777, False)
D134, A, 24>> (1, 2.3703703703703702, False)
D134, A, 109>> (1, 2.814814814814815, False)
D134, A, 122>> (1, 2.962962962962963, False)
D134, A, C>> (3, 3.4074074074074074, True)
D134, A, 86>> (1, 2.5185185185185186, False)
D134, A, 16>> (1, 1.6296296296296295, False)
D134, A, 96>> (1, 0.2962962962962963, False)
D134, A, 116>> (1, 0.14814814814814814, False)
D134, A, 5>> (2, 0.4444444444444444, False)
D134, A, 147>> (2, 3.111111111111111, False)
D134, A, 62>> (1, 1.1851851851851851, True)
D134, A, A>> (3, 3.8518518518518516, False)
D134, A, B>> (4, 3.7037037037037037, True)
D134, A, 125>> (1, 0.7407407407407407, True)
D134, A, 49>> (1, 3.259259259259259, False)
D134, A, F>> (4, 3.5555555555555554, True)
D134, A, 43>> (2, 2.6666666666666665, False)
D135, A, 86>> (2, 0.7407407407407407, False)
D135, A, 49>> (2, 3.111111111111111, False)
D135, A, 125>> (1, 0.4444444444444444, False)
D135, A, 30>> (2, 2.962962962962963, False)
D135, A, 116>> (0, 0.14814814814814814, True)
D135, A, C>> (3, 2.814814814814815, True)
D135, A, 16>> (1, 1.6296296296296295, False)
D135, A, 109>> (1, 2.3703703703703702, False)
D135, A, A>> (3, 3.8518518518518516, False)
D135, A, 122>> (2, 3.4074074074074074, False)
D135, A, 24>> (1, 1.9259259259259258, False)
D135, A, 71>> (2, 1.037037037037037, False)
D135, A, 96>> (2, 0.2962962962962963, False)
D135, A, 62>> (2, 2.074074074074074, True)
D135, A, B>> (4, 3.7037037037037037, True)
D135, A, 43>> (2, 1.3333333333333333, False)
D135, A, 147>> (2, 2.6666666666666665, False)
D135, A, G>> (4, 3.5555555555555554, True)
D136, B, 109>> (3, 2.5185185185185186, True)
D136, B, 62>> (3, 3.111111111111111, True)
D136, B, B>> (4, 3.8518518518518516, True)
D136, B, 147>> (2, 1.3333333333333333, False)
D136, B, H>> (4, 3.4074074074074074, False)
D136, B, 122>> (2, 1.6296296296296295, True)
D136, B, 24>> (1, 1.1851851851851851, True)
D136, B, 16>> (1, 0.4444444444444444, False)
D136, B, A>> (4, 3.5555555555555554, True)
D136, B, 30>> (1, 0.5925925925925926, True)
D136, B, 71>> (1, 1.4814814814814814, True)
D136, B, 43>> (0, 0.14814814814814814, True)
D136, B, C>> (4, 2.814814814814815, False)
D136, B, 96>> (0, 0.7407407407407407, False)
D136, B, 49>> (2, 1.037037037037037, False)
D136, B, 125>> (3, 2.962962962962963, True)
D136, B, 116>> (1, 1.7777777777777777, False)
D136, B, 5>> (1, 0.8888888888888888, True)
D137, D, 62>> (1, 2.2222222222222223, False)
D137, D, 109>> (1, 0.2962962962962963, False)
D137, D, 86>> (1, 1.1851851851851851, True)
D137, D, A>> (3, 3.7037037037037037, False)
D137, D, 5>> (2, 1.037037037037037, False)
D137, D, 125>> (1, 0.7407407407407407, True)
D137, D, 49>> (1, 1.9259259259259258, False)
D137, D, 96>> (1, 1.6296296296296295, False)
D137, D, D>> (3, 3.8518518518518516, False)
D137, D, E>> (3, 3.4074074074074074, True)
D137, D, 30>> (1, 0.8888888888888888, True)
D137, D, 71>> (1, 2.962962962962963, False)
D137, D, B>> (4, 3.5555555555555554, True)
D137, D, 16>> (2, 0.14814814814814814, False)
D137, D, 147>> (2, 3.259259259259259, False)
D137, D, 24>> (1, 2.074074074074074, False)
D137, D, 122>> (0, 2.814814814814815, False)
D137, D, 43>> (1, 1.3333333333333333, True)
D139, A, B>> (4, 3.7037037037037037, True)
D139, A, 30>> (1, 1.3333333333333333, True)
